Reporter Name	Partner Name	Year	Trade Flow	No Of exported HS6 digit Products	No Of imported HS6 digit Products	Export Share in Total Products (%)	Import Share in Total Products (%)	Trade Balance (US$ Thousand)	Export (US$ Thousand)	Import (US$ Thousand)	Import Partner Share (%)	Export Partner Share (%)	AHS Simple Average (%)	AHS Weighted Average (%)	AHS Total Tariff Lines	AHS Dutiable Tariff Lines Share (%)	AHS Duty Free Tariff Lines Share (%)	AHS Specific Tariff Lines Share (%)	AHS AVE Tariff Lines Share (%)	AHS MaxRate (%)	AHS MinRate (%)	AHS SpecificDuty Imports(US$ Thousand)	AHS Dutiable Imports (US$ Thousand)	AHS Duty Free Imports (US$ Thousand)	MFN Simple Average (%)	MFN Weighted Average (%)	MFN Total Tariff Lines	MFN Dutiable Tariff Lines Share (%)	MFN Duty Free Tariff Lines Share (%)	MFN Specific Tariff Lines Share (%)	MFN AVE Tariff Lines Share (%)	MFN MaxRate (%)	MFN MinRate (%)	MFN SpecificDuty Imports (US$ Thousand)	MFN Dutiable Imports (US$ Thousand)	MFN Duty Free Imports (US$ Thousand)	No Of Tariff Agreement
Germany	Nauru	2019	Exports & Imports	4	7	0.09	0.16	137.72	161.73	24	0	0	0.69	0.49	16	25	75	0	0	3.3	0	0	9.38	14.62	3.94	3.87	16	93.75	6.25	0	0	9.7	0	0	24	0	
Germany	New Zealand	2019	Exports & Imports	2533	979	57.4	21.77	1152398.82	1928137.11	775738.29	0.06	0.13	5.04	18.74	4557	63.73	18.67	1.97	15.62	237.64	0	92514.05	625391.9	127146.78	5.04	18.74	4557	63.73	18.67	1.97	15.62	237.64	0	92514.05	625391.9	127146.78	
Germany	Other Asia, nes	2019	Exports & Imports					-2723179.28	8779639.58	11502818.86	0.93	0.59																									
Germany	Oman	2019	Exports & Imports	1877	241	42.53	5.36	948005.39	990354.11	42348.72	0	0.07	2.7	3.28	1257	70.17	29.36	0.16	0.32	25	0	7.77	28596.18	7024.42	2.7	3.28	1257	70.17	29.36	0.16	0.32	25	0	7.77	28596.18	7024.42	
Germany	Pakistan	2019	Exports & Imports	1992	1113	45.14	24.75	-775993.71	1254693.84	2030687.54	0.16	0.08	0.69	0.26	4025	0.37	89.71	1.07	8.84	131.26	0	727.97	29382.83	1991824.36	6.22	10.13	4025	73.29	15.95	1.14	9.61	131.26	0	736.38	1944166.93	77040.26	
Germany	Panama	2019	Exports & Imports	1522	198	34.49	4.4	540268.82	661411.43	121142.61	0.01	0.04	0.67	2.26	994	0.1	94.87	0.3	4.73	121.54	0	1346.5	37373.62	82111.83	5.3	6.31	994	67.2	25.86	1.31	5.63	121.54	0	1355.81	57990.9	61494.56	
Germany	Pitcairn	2019	Exports & Imports	1	2	0.02	0.04	-236.77	17.86	254.63	0	0	0	0	3	0	100	0	0	0	0	0	0	254.63	0	0	3	0	100	0	0	0	0	0	0	254.63	
Germany	Peru	2019	Exports & Imports	2208	655	50.03	14.57	-361118.27	1056727.48	1417845.75	0.11	0.07	0.56	0.2	3276	0.12	89.26	0.64	9.98	93.42	0	27719	81516.78	1322281.5	6.76	2.74	3276	65.29	14.93	2.53	17.25	127.42	0	30594.47	436197.38	967600.9	
Germany	Philippines	2019	Exports & Imports	2179	1073	49.38	23.86	-1673411.61	2813683.6	4487095.22	0.36	0.19	0.33	0.01	4729	0.42	89.38	2.01	8.18	67.41	0	7869.64	36960.34	4283414.91	4.79	1.66	4729	70.46	18.25	2.2	9.09	74.9	0	22086.21	1656330.11	2664045.14	
Germany	Palau	2019	Exports & Imports	8	4	0.18	0.09	-16.07	22.25	38.33	0	0	4.55	3.55	10	70	30	0	0	11	0	0	14.9	23.42	4.55	3.55	10	70	30	0	0	11	0	0	14.9	23.42	
Germany	Papua New Guinea	2019	Exports & Imports	343	39	7.77	0.87	-144879.66	33822.84	178702.5	0.01	0	0	0	190	0	100	0	0	0	0	0	0	178685.61	6.44	8.84	190	70.53	17.37	0	12.11	73.8	0	0	89880.24	88805.37	
Germany	Poland	2019	Exports & Imports	4168	3616	94.45	80.41	9126810.65	73592537.19	64465726.54	5.2	4.93																									
Germany	Korea, Dem. Rep.	2019	Exports & Imports	62	21	1.4	0.47	1089.9	1322.41	232.51	0	0	3.77	3.7	360	66.39	22.5	4.17	6.94	27.79	0	1.06	1232.85	1657.52	3.77	3.7	360	66.39	22.5	4.17	6.94	27.79	0	1.06	1232.85	1657.52	
Germany	Portugal	2019	Exports & Imports	3661	2268	82.96	50.43	3637608.33	11919404.1	8281795.77	0.67	0.8																									
Germany	Paraguay	2019	Exports & Imports	1474	123	33.4	2.74	140665.55	195193.78	54528.23	0	0.01	5.74	22.98	746	0.27	63.27	4.42	32.04	93.42	0	202.45	22730.49	30917.49	9.54	24.51	746	42.09	18.5	5.36	34.05	93.42	0	207.76	35015.17	18632.8	
Germany	Occ.Pal.Terr	2019	Exports & Imports	656	37	14.87	0.82	88082	90901.53	2819.52	0	0.01	0	0	170	0	100	0	0	0	0	0	0	2811.81	7.86	10.86	170	65.29	18.24	6.47	10	33.19	0	0.83	2776.65	35.15	
Germany	French Polynesia	2019	Exports & Imports	781	32	17.7	0.71	25586.2	28307.75	2721.56	0	0	0	0	289	0	100	0	0	0	0	0	0	2617.9	4.08	2.78	289	66.44	15.92	0.35	17.3	46.25	0	0.46	858.62	1759.28	
Germany	Qatar	2019	Exports & Imports	2126	359	48.18	7.98	1398761.9	1669337.15	270575.25	0.02	0.11	2.6	2.94	1857	66.24	24.56	1.13	8.08	26	0	15.69	80903.65	16046.24	2.6	2.94	1857	66.24	24.56	1.13	8.08	26	0	15.69	80903.65	16046.24	
Germany	Romania	2019	Exports & Imports	3801	2186	86.13	48.61	1165092.86	18852418.68	17687325.81	1.43	1.26																									
Germany	Russian Federation	2019	Exports & Imports	3597	2079	81.51	46.23	5087915.48	30445081.38	25357165.9	2.05	2.04	4.37	0.79	8260	69.09	21.42	1.48	8.01	260.34	0	25426.68	3190769.24	17255452.93	4.37	0.79	8260	69.09	21.42	1.48	8.01	260.34	0	25426.68	3190769.24	17255452.93	
Germany	Rwanda	2019	Exports & Imports	668	52	15.14	1.16	50178.87	64297	14118.13	0	0	1.01	0.03	251	62.95	36.65	0.4	0	6.5	0	0.82	164.27	8349.8	2.94	0.73	251	69.72	28.69	0.4	1.2	17	0	0.82	734.69	7779.38	
Germany	South Asia	2019	Exports & Imports	3442	3194	78	71.03	-4168756.01	16151521.03	20320277.04	1.64	1.08	2.97	2.68	22866	40	51.39	1.1	7.51	237.64	0	81970.84	8415170.69	11280490.06	5.21	7.98	11195	71.26	17.81	0.64	4.71	237.64	0	82092.29	17676848.09	2018812.66	
Germany	Saudi Arabia	2019	Exports & Imports	2718	708	61.59	15.74	5429280.45	6750400.43	1321119.99	0.11	0.45	3.51	1.48	3377	67.99	22.18	1.81	8.02	57.6	0	1205.46	316654.14	791481.97	3.51	1.48	3377	67.99	22.18	1.81	8.02	57.6	0	1205.46	316654.14	791481.97	
Germany	Senegal	2019	Exports & Imports	1200	125	27.19	2.78	119467.72	144449.28	24981.56	0	0.01	0.74	0.11	750	31.2	68.8	0	0	5.7	0	0	1093.24	17053.83	4.83	6.49	750	62.53	22.67	0	14.8	36.27	0	0	10839.97	7307.11	
Germany	Serbia, FR(Serbia/Montenegro)	2019	Exports & Imports	3245	1552	73.53	34.51	1103207.29	3641132.9	2537925.61	0.2	0.24	0.02	0.01	6173	0.05	95.55	0.52	3.89	49.05	0	347.57	58398.95	2434348.67	4.61	4.43	6173	67.41	19.6	1.93	11.06	131.48	0	8271.33	2079394.34	413353.28	
Germany	Singapore	2019	Exports & Imports	3069	1464	69.54	32.56	1822382.91	8277778.75	6455395.83	0.52	0.55	3.71	2.33	5852	73.55	20.04	1.38	5.02	121.54	0	8263.95	2881602.13	3093505.68	3.71	2.33	5852	73.55	20.04	1.38	5.02	121.54	0	8263.95	2881602.13	3093505.68	
Germany	South Georgia and the South Sa	2019	Exports & Imports		1		0.02			4.52	0		0	0	3	0	100	0	0	0	0	0	0	4.52	2.9	2.9	3	100	0	0	0	2.9	2.9	0	4.52	0	
Germany	Saint Helena	2019	Exports & Imports	3	5	0.07	0.11	24.91	81.71	56.8	0	0	0	0	35	0	100	0	0	0	0	0	0	56.8	3.19	0.31	35	82.86	17.14	0	0	12	0	0	8.86	47.94	
Germany	Solomon Islands	2019	Exports & Imports	48	9	1.09	0.2	361.16	410.39	49.23	0	0	0.33	0.5	44	22.73	77.27	0	0	1.7	0	0	19.77	29.45	0.88	0.61	44	61.36	38.64	0	0	5	0	0	20.8	28.42	
Germany	Sierra Leone	2019	Exports & Imports	475	88	10.76	1.96	-22139.43	19254.99	41394.42	0	0	1.02	0.04	765	34.64	65.36	0	0	6.5	0	0	699.49	42382.61	5.73	0.43	765	66.41	17.78	0	15.82	121.54	0	0	2217.3	40864.81	
Germany	El Salvador	2019	Exports & Imports	1057	217	23.95	4.83	456544.96	502855.2	46310.25	0	0.03	0.03	0	916	0	94.54	0.22	5.24	12.27	0	148.62	150.24	45087.51	5.61	1.53	916	71.94	19.21	0.44	8.41	36.27	0	148.62	5929.72	39308.03	
Germany	San Marino	2019	Exports & Imports	631	161	14.3	3.58	53051.3	64497.92	11446.61	0	0	0	0	838	0.12	99.88	0	0	2.7	0	0	7.83	11325.99	3.74	2.05	838	75.89	17.9	1.79	4.42	46.25	0	99.17	8929.9	2403.93	
Germany	Somalia	2019	Exports & Imports	357	14	8.09	0.31	27540.52	30596.33	3055.81	0	0	0.38	0.14	81	28.4	71.6	0	0	2.9	0	0	271.71	2784.08	5.4	0.24	81	61.73	19.75	0	18.52	28.81	0	0	306.49	2749.3	
Germany	Saint Pierre and Miquelon	2019	Exports & Imports	43	1	0.97	0.02	387.52	387.71	0.2	0	0																									
Germany	South Sudan	2019	Exports & Imports	175	12	3.97	0.27	10667.23	10728.87	61.63	0	0	0.55	0.99	27	48.15	51.85	0	0	2.7	0	0	20.42	7.13	0.55	0.99	27	48.15	51.85	0	0	2.7	0	0	20.42	7.13	
Germany	Sub-Saharan Africa	2019	Exports & Imports	3477	1979	78.79	44.01	-423932.61	15692599.07	16116531.68	1.3	1.05	0.5	0.17	24580	14.11	82.24	0.48	3.17	152.39	0	244579.35	554933.44	15208209.73	5.33	4.36	8157	68.87	17.84	0.47	3.94	152.39	0	260496.19	8461905.15	7301238.01	
Germany	Sao Tome and Principe	2019	Exports & Imports	45	3	1.02	0.07	1256.04	1275.79	19.75	0	0	3.1	2.78	19	89.47	10.53	0	0	6.5	0	0	2.91	3.59	3.1	2.78	19	89.47	10.53	0	0	6.5	0	0	2.91	3.59	
Germany	Sudan	2019	Exports & Imports	917	36	20.78	0.8	168053.57	182012.97	13959.4	0	0.01	3.41	0.3	184	40.22	35.87	2.17	21.74	57.6	0	0.12	4287.08	9433.84	3.41	0.3	184	40.22	35.87	2.17	21.74	57.6	0	0.12	4287.08	9433.84	
Germany	Suriname	2019	Exports & Imports	617	46	13.98	1.02	27545.74	29276.14	1730.4	0	0	0.04	0	491	0.2	78.82	1.43	19.55	3.72	0	1.22	3.85	1084.55	6.08	10.48	491	48.27	9.57	4.28	37.88	57.6	0	2.69	914.33	174.07	
Germany	Slovak Republic	2019	Exports & Imports	3698	2427	83.8	53.97	-4073249.03	15687326.06	19760575.09	1.59	1.05																									
Germany	Slovenia	2019	Exports & Imports	3648	2006	82.66	44.61	-901254.4	6133507.47	7034761.87	0.57	0.41																									
Germany	Sweden	2019	Exports & Imports	3876	2840	87.83	63.15	10684838.97	27889580.66	17204741.69	1.39	1.87																									
Germany	Eswatini	2019	Exports & Imports	88	70	1.99	1.56	3043.93	9282.16	6238.23	0	0	0	0	525	0	100	0	0	0	0	0	0	6224.83	6.57	24.64	525	59.62	18.67	0.76	20.95	93.42	0	3040.71	5977.26	247.57	
Germany	Saint Maarten (Dutch part)	2019	Exports & Imports	329	10	7.46	0.22	4635.93	4750.93	114.99	0	0	1.21	2.42	37	59.46	40.54	0	0	3.7	0	0	78.99	8.1	1.21	2.42	37	59.46	40.54	0	0	3.7	0	0	78.99	8.1	
Germany	Seychelles	2019	Exports & Imports	656	45	14.87	1	92814.11	95171.45	2357.33	0	0.01	0	0	181	0	100	0	0	0	0	0	0	2347.63	6.1	12.83	181	62.43	30.39	6.08	1.1	25	0	5.12	1890.52	457.11	
Germany	Syrian Arab Republic	2019	Exports & Imports	828	320	18.76	7.12	82164.37	98932.67	16768.31	0	0.01	2.54	1.89	1616	27.1	49.32	4.58	19	119.12	0	1146.3	3601.29	12906.97	7.89	4.28	1616	64.23	12.07	4.7	19	127.42	0	1146.3	9376.96	7131.31	
Germany	Turks and Caicos Isl.	2019	Exports & Imports	38	2	0.86	0.04	1798.99	1856.21	57.22	0	0	0	0	6	0	100	0	0	0	0	0	0	1.41	2.7	2.7	6	100	0	0	0	2.7	2.7	0	1.41	0	
Germany	Chad	2019	Exports & Imports	293	15	6.64	0.33	-49052.04	18068	67120.04	0.01	0	0.27	0	33	21.21	78.79	0	0	3	0	0	19.81	67086.07	0.27	0	33	21.21	78.79	0	0	3	0	0	19.81	67086.07	
Germany	Togo	2019	Exports & Imports	866	55	19.62	1.22	55769.94	60654.48	4884.54	0	0	0.55	0.07	203	25.12	74.88	0	0	5.7	0	0	133.54	4738.12	5.47	0.61	203	63.05	30.05	0.99	5.91	49.12	0	0.6	386.02	4485.64	
Germany	Thailand	2019	Exports & Imports	2865	2132	64.92	47.41	-1208185.76	5643898.77	6852084.53	0.55	0.38	7.09	3.98	8141	71.83	16.12	1.42	10.63	3000	0	140476.52	3775921.86	2861453.38	7.09	3.98	8141	71.83	16.12	1.42	10.63	3000	0	140476.52	3775921.86	2861453.38	
Germany	Tajikistan	2019	Exports & Imports	546	35	12.37	0.78	29834.74	32149.68	2314.94	0	0	3.58	0.94	113	46.02	32.74	13.27	7.96	12.1	0	1.09	1540.17	742.37	5.28	2.43	113	58.41	20.35	13.27	7.96	17.3	0	1.09	2107.87	174.67	
Germany	Tokelau	2019	Exports & Imports	23	15	0.52	0.33	-30.61	255.49	286.1	0	0	7.55	3.75	53	90.57	9.43	0	0	12	0	0	282.64	3.46	7.55	3.75	53	90.57	9.43	0	0	12	0	0	282.64	3.46	
Germany	Turkmenistan	2019	Exports & Imports	919	18	20.82	0.4	180284.74	181304.14	1019.4	0	0.01	6.7	5.37	75	84	14.67	0	1.33	12	0	0	574.08	90.61	6.7	5.37	75	84	14.67	0	1.33	12	0	0	574.08	90.61	
Germany	East Timor	2019	Exports & Imports	62	15	1.4	0.33	3.48	352.5	349.01	0	0	0.54	0.04	104	4.81	95.19	0	0	3.7	0	0	4.64	307.13	6.55	0.26	104	20.19	5.77	0	74.04	22.54	0	0	9.21	302.56	
Germany	Tonga	2019	Exports & Imports	28	3	0.63	0.07	250.22	260.31	10.1	0	0	2.53	3.51	6	83.33	16.67	0	0	3.8	0	0	9.32	0.77	7.33	10.16	6	83.33	16.67	0	0	11	0	0	9.32	0.77	
Germany	Trinidad and Tobago	2019	Exports & Imports	863	56	19.56	1.25	18894.42	112242.94	93348.52	0.01	0.01	0	0	254	0	100	0	0	0	0	0	0	92429.38	3.21	2.98	254	65.75	30.31	3.94	0	57.6	0	1200.69	51127.34	41302.04	
Germany	Tunisia	2019	Exports & Imports	2341	942	53.05	20.95	-471715.33	1649380.64	2121095.97	0.17	0.11	0.48	0.21	3950	6.38	80.94	2.46	10.23	46.25	0	723.68	47003.44	2074008.74	5.5	5.67	3950	70.18	16.78	2.56	10.48	74.9	0	881.14	1957698.46	163313.72	
Germany	Turkey	2019	Exports & Imports	3567	3124	80.83	69.47	4212334.67	22023429.02	17811094.34	1.44	1.47	0.64	0.2	10697	0.31	89.47	1.07	9.15	136.15	0	133622.05	619132.94	16425225.31	5.16	6.85	10697	69.13	18.92	1.31	10.64	260.34	0	144003.49	15683897.22	1360461.02	
Germany	Tuvalu	2019	Exports & Imports	2	2	0.05	0.04	-55.53	11.6	67.13	0	0	0	0	2	0	100	0	0	0	0	0	0	67.13	6	0.89	2	50	50	0	0	12	0	0	4.96	62.17	
Germany	Tanzania	2019	Exports & Imports	1093	152	24.77	3.38	108572.13	197301.73	88729.6	0.01	0.01	0.65	0.09	651	24.42	75.42	0	0.15	10.21	0	0	3200.76	84423.78	5.08	4.29	651	57.3	22.89	2.3	17.51	74.9	0	0.74	48090.46	39534.08	
Germany	Uganda	2019	Exports & Imports	906	120	20.53	2.67	30607.02	125501.54	94894.52	0.01	0.01	0.66	0.07	644	22.52	70.5	0.78	6.21	15.81	0	0.6	2407.87	91898.7	5.6	0.87	644	52.33	22.2	5.75	19.72	76.46	0	12.75	10929.53	83377.04	
Germany	Ukraine	2019	Exports & Imports	3294	1692	74.64	37.63	2248390.33	5492971.08	3244580.76	0.26	0.37	0.62	0.57	6976	3.02	93.23	0.54	3.2	102.43	0	15542.57	123382.68	3020432.41	5.16	3.45	6976	71.14	18.29	1.43	9.13	144.27	0	26940.64	1803883.15	1339931.94	
Germany	United States Minor Outlying I	2019	Exports & Imports	21	5	0.48	0.11	41.94	80.06	38.12	0	0	3.99	0.48	16	37.5	50	12.5	0	17.3	0	2.33	3.66	34.47	3.99	0.48	16	37.5	50	12.5	0	17.3	0	2.33	3.66	34.47	
Germany	Unspecified	2019	Exports & Imports	322	38	7.3	0.84	-20736866.08	14152139.81	34889005.89	2.81	0.95	5.38	2.08	173	63.01	25.43	0	11.56	74.9	0	0	254.84	254.96	5.38	2.08	173	63.01	25.43	0	11.56	74.9	0	0	254.84	254.96	
Germany	Uruguay	2019	Exports & Imports	1859	232	42.13	5.16	-68046.01	273152.55	341198.55	0.03	0.02	5.94	12.95	1596	47.68	15.6	2.26	34.46	84.94	0	220.67	125461.65	210239.84	5.94	12.95	1596	47.68	15.6	2.26	34.46	84.94	0	220.67	125461.65	210239.84	
Germany	United States	2019	Exports & Imports	3802	3887	86.15	86.44	52070484.15	133545758.29	81475274.14	6.57	8.94	5.04	2.28	12716	69.45	19.83	1.2	9.52	237.64	0	435985.54	44102648.66	28858544.13	5.04	2.28	12716	69.45	19.83	1.2	9.52	237.64	0	435985.54	44102648.66	28858544.13	
Germany	Uzbekistan	2019	Exports & Imports	1693	235	38.36	5.23	966878.59	1002652.98	35774.38	0	0.07	3.45	4.06	1302	25.12	54.3	2.38	18.2	40.3	0	51.65	27189.41	7366.84	5.19	5.7	1302	59.37	19.89	2.53	18.2	57.6	0	53.08	31813.31	2742.93	
Germany	Holy See	2019	Exports & Imports	69	35	1.56	0.78	1641.42	2799.63	1158.21	0	0	3.05	0.36	79	67.09	32.91	0	0	16.9	0	0	100.21	650.22	3.05	0.36	79	67.09	32.91	0	0	16.9	0	0	100.21	650.22	
Germany	St. Vincent and the Grenadines	2019	Exports & Imports	159	2	3.6	0.04	9612.55	9700.18	87.62	0	0	0	0	134	0	100	0	0	0	0	0	0	87.62	21.51	21.74	134	72.39	1.49	0	26.12	46.25	0	0	87.62	0	
Germany	Venezuela	2019	Exports & Imports	850	133	19.26	2.96	-234039.64	59444.99	293484.63	0.02	0	6.04	0.14	688	71.95	16.86	4.51	6.69	48.48	0	11465.24	16372.84	276687.37	6.04	0.14	688	71.95	16.86	4.51	6.69	48.48	0	11465.24	16372.84	276687.37	
Germany	British Virgin Islands	2019	Exports & Imports	159	24	3.6	0.53	496350.42	498868.58	2518.16	0	0.03	0	0	186	0	100	0	0	0	0	0	0	2516.22	2.99	4.83	186	75.81	22.04	2.15	0	17	0	113.64	2405.57	110.65	
Germany	Vietnam	2019	Exports & Imports	2736	1725	62	38.36	-6064808.02	4838577.99	10903386.01	0.88	0.32	3.42	3.59	6384	36.42	53.9	1.3	8.38	144.27	0	8137.6	4606099.35	5835369.43	5.65	5.61	6384	72.84	17.28	1.39	8.49	144.27	0	32836.65	5916276.19	4525192.59	
Germany	Vanuatu	2019	Exports & Imports	46	1	1.04	0.02	696.6	746.61	50.01	0	0	2.75	2.75	4	75	25	0	0	4	0	0	50.01	0	2.75	2.75	4	75	25	0	0	4	0	0	50.01	0	
Germany	 World	2019	Exports & Imports	4413	4497	100	100	253369360.72	1493266563.85	1239897203.13	100	100	2.56	1.83	344262	33.48	58.16	1.09	7.27	3000	0	3878007.07	180164794.59	330151504.5	6.16	3.16	15063	67.28	19.88	0.05	0.52	3000	0	5277924.1	278833928.05	231482371.03	
Germany	Wallis and Futura Isl.	2019	Exports & Imports	14	1	0.32	0.02	120.13	120.16	0.02	0	0	0	0	2	0	100	0	0	0	0	0	0	0.02	2.7	2.7	2	100	0	0	0	2.7	2.7	0	0.02	0	
Germany	Samoa	2019	Exports & Imports	39	2	0.88	0.04	2872.71	3199.98	327.26	0	0	0	0	81	0	100	0	0	0	0	0	0	327.26	13.69	17.72	81	65.43	0	0	34.57	46.25	1.7	0	327.26	0	
Germany	Yemen	2019	Exports & Imports	644	19	14.59	0.42	68315.06	102027.73	33712.66	0	0.01	0.82	0	93	60.22	39.78	0	0	5.7	0	0	31.71	33110.2	2.05	0.05	93	79.57	20.43	0	0	18	0	0	154.52	32987.39	
Germany	South Africa	2019	Exports & Imports	3136	1497	71.06	33.29	295386.93	10595336.54	10299949.61	0.83	0.71	0.35	0.23	6524	2.85	88.26	1.21	7.68	152.39	0	244570.25	438611.63	9608421.99	4.4	5.78	6524	68.16	18.53	1.56	11.74	152.39	0	247762.16	7189847.35	2857186.27	
Germany	Congo, Dem. Rep.	2019	Exports & Imports	793	56	17.97	1.25	14580.42	90638.61	76058.19	0.01	0.01	0.58	0.01	167	44.31	55.69	0	0	6.5	0	0	554.54	62684.48	2.94	0.03	167	54.49	42.51	0	2.99	49.12	0	0	694.1	62544.92	
Germany	Zambia	2019	Exports & Imports	685	58	15.52	1.29	-15330.95	71803.69	87134.64	0.01	0	0.73	0.02	202	41.09	58.42	0	0.5	10.21	0	0	547.76	86472.66	3.79	2.58	202	54.95	27.72	0	17.33	33.79	0	0	29708.08	57312.33	
Germany	Zimbabwe	2019	Exports & Imports	504	114	11.42	2.54	-8070.71	37355.27	45425.97	0	0	0	0	549	0.18	99.82	0	0	2.7	0	0	45.14	45697.1	4.68	6.28	549	59.93	22.04	0	18.03	41.6	0	0	33122.67	12619.57	
